Num,X,Y,Z,timestamp(timeIntervalSince1970)
232,0.18000438809394836,1.6545675992965698,0.2998245358467102,1652824256.869649
233,0.13913631439208984,1.6491225957870483,0.31987014412879944,1652824256.87998
234,0.13813497126102448,1.6498386859893799,0.33341044187545776,1652824256.8901339
235,0.15783384442329407,1.6845921277999878,0.35153433680534363,1652824256.899972
236,0.17723150551319122,1.7485905885696411,0.35786572098731995,1652824256.9097419
237,0.19318224489688873,1.8187675476074219,0.3616250455379486,1652824256.919687
238,0.21186484396457672,1.9120423793792725,0.36436864733695984,1652824256.92994
239,0.23113521933555603,1.9748409986495972,0.36092516779899597,1652824256.93896
240,0.2267439365386963,1.9710990190505981,0.3681545853614807,1652824256.949967
241,0.18985755741596222,1.9124494791030884,0.3806717097759247,1652824256.9599829
242,0.11972294002771378,1.8335496187210083,0.39957934617996216,1652824256.969769
243,0.02858850173652172,1.7444618940353394,0.41824838519096375,1652824256.9800649
244,-0.055448077619075775,1.7182832956314087,0.43792593479156494,1652824256.99
245,-0.11807896941900253,1.689124345779419,0.45618936419487,1652824256.999988
246,-0.13599884510040283,1.6754982471466064,0.4512116611003876,1652824257.0099201
247,-0.1290959268808365,1.6797640323638916,0.43171438574790955,1652824257.019769
248,-0.10098972916603088,1.6811803579330444,0.407100111246109,1652824257.0298262
249,-0.06767705082893372,1.6918063163757324,0.38120752573013306,1652824257.039939
250,-0.018551314249634743,1.7163423299789429,0.345529705286026,1652824257.049911
251,0.034517765045166016,1.744284987449646,0.30245280265808105,1652824257.059939
252,0.06517261266708374,1.7735462188720703,0.25842994451522827,1652824257.069885
253,0.05915333330631256,1.8017916679382324,0.23414857685565948,1652824257.079931
254,0.045286521315574646,1.82677161693573,0.23630255460739136,1652824257.0899482
255,0.0323675274848938,1.8274006843566895,0.24112872779369354,1652824257.099928
256,0.03356674686074257,1.8073159456253052,0.2411724030971527,1652824257.109992
257,0.03736095502972603,1.7894178628921509,0.23846156895160675,1652824257.119928
258,0.03322639688849449,1.7650870084762573,0.23949435353279114,1652824257.129993
259,0.03917429968714714,1.7523642778396606,0.24458284676074982,1652824257.14003
260,0.051649078726768494,1.7482858896255493,0.269279420375824,1652824257.1499228
261,0.07610435783863068,1.7200102806091309,0.3025827705860138,1652824257.15993
262,0.10568328946828842,1.6981563568115234,0.32331255078315735,1652824257.170016
263,0.15657788515090942,1.7108796834945679,0.2953040897846222,1652824257.1799312
264,0.1549443155527115,1.7084811925888062,0.2408275306224823,1652824257.190057
265,0.09864428639411926,1.6811667680740356,0.20108464360237122,1652824257.199977
266,0.039558328688144684,1.6548467874526978,0.2032596468925476,1652824257.209974
267,-0.0006466155173256993,1.633162498474121,0.23072536289691925,1652824257.218997
268,-0.023560453206300735,1.62083101272583,0.2584986686706543,1652824257.229945
269,-0.029228990897536278,1.6050786972045898,0.2762185335159302,1652824257.2389488
270,-0.005420864559710026,1.5942776203155518,0.2918635308742523,1652824257.249685
271,0.03634735569357872,1.5706263780593872,0.3130074441432953,1652824257.259925
272,0.08823052793741226,1.54426908493042,0.32413092255592346,1652824257.268964
273,0.14981479942798615,1.5344396829605103,0.3189771771430969,1652824257.2791991
274,0.18990309536457062,1.550176739692688,0.28756386041641235,1652824257.2899551
275,0.22976848483085632,1.5842663049697876,0.2535976469516754,1652824257.299944
276,0.23895186185836792,1.6234400272369385,0.21033166348934174,1652824257.310003
277,0.22943079471588135,1.6530674695968628,0.16884760558605194,1652824257.319926
278,0.2078503966331482,1.6645680665969849,0.12240873277187347,1652824257.3299341
279,0.16256201267242432,1.6740646362304688,0.08955305069684982,1652824257.338925
280,0.10302811115980148,1.6914538145065308,0.07875499874353409,1652824257.349267
281,0.06568527221679688,1.7065120935440063,0.08964972198009491,1652824257.359933
282,0.060385845601558685,1.7280112504959106,0.09907305240631104,1652824257.369957
283,0.0636250451207161,1.737192988395691,0.10168561339378357,1652824257.379911
284,0.05774558708071709,1.7217676639556885,0.11635004729032516,1652824257.389893
285,0.04326305165886879,1.710376262664795,0.12314429879188538,1652824257.399938
286,0.016949955374002457,1.6923797130584717,0.1348438411951065,1652824257.4098969
287,-0.02124856412410736,1.6589317321777344,0.15142308175563812,1652824257.419996
288,-0.05726541951298714,1.62846040725708,0.17732630670070648,1652824257.429926
289,-0.06628687679767609,1.5944467782974243,0.19780735671520233,1652824257.439969
290,-0.054367899894714355,1.549416422843933,0.21715255081653595,1652824257.4499068
291,-0.027521638199687004,1.5240360498428345,0.21511363983154297,1652824257.459934
292,-0.034203510731458664,1.5201219320297241,0.19398492574691772,1652824257.469963
293,-0.08572182804346085,1.5498422384262085,0.1839517205953598,1652824257.479978
294,-0.12265108525753021,1.5756983757019043,0.19126956164836884,1652824257.489541
295,-0.11967553198337555,1.592817783355713,0.1866694837808609,1652824257.499948
296,-0.08732877671718597,1.6145142316818237,0.16176758706569672,1652824257.509913
297,-0.045278530567884445,1.6459190845489502,0.12902243435382843,1652824257.519983
298,0.011707255616784096,1.6755539178848267,0.10242357850074768,1652824257.529948
299,0.06821021437644958,1.7056318521499634,0.08641185611486435,1652824257.539962
300,0.09714492410421371,1.7037029266357422,0.07940108329057693,1652824257.549947
301,0.10689635574817657,1.6762545108795166,0.09937772154808044,1652824257.559929
302,0.10740874707698822,1.6483579874038696,0.11886140704154968,1652824257.569972
303,0.08193933963775635,1.606137752532959,0.13654398918151855,1652824257.579904
304,0.049620550125837326,1.5645840167999268,0.15368862450122833,1652824257.5899792
305,0.02340812049806118,1.5193361043930054,0.16534581780433655,1652824257.599915
306,0.01179487444460392,1.4609867334365845,0.1799660325050354,1652824257.609591
307,0.012408466078341007,1.4211878776550293,0.1849256455898285,1652824257.619989
308,0.01955133117735386,1.415315866470337,0.15258555114269257,1652824257.6299338
309,-0.013117666356265545,1.4498860836029053,0.09773960709571838,1652824257.638941
310,-0.09908823668956757,1.4965356588363647,0.06627276539802551,1652824257.649174
311,-0.1902916431427002,1.509576678276062,0.06380747258663177,1652824257.659926
312,-0.20993538200855255,1.5250991582870483,0.09648845344781876,1652824257.669889
313,-0.17210598289966583,1.5341951847076416,0.11975462734699249,1652824257.679903
314,-0.11464136093854904,1.5234863758087158,0.13198067247867584,1652824257.690012
315,-0.0637102723121643,1.5066043138504028,0.15491421520709991,1652824257.700006
316,-0.01870737411081791,1.4831039905548096,0.1950182318687439,1652824257.709988
317,0.024229438975453377,1.4561272859573364,0.24227175116539001,1652824257.719322
318,0.0752532109618187,1.4295648336410522,0.2836458384990692,1652824257.7299309
319,0.12107422947883606,1.4094425439834595,0.31664612889289856,1652824257.7392712
320,0.1354965716600418,1.4250867366790771,0.32310962677001953,1652824257.7497191
321,0.1334962695837021,1.4478399753570557,0.31800219416618347,1652824257.759949
322,0.10616877675056458,1.466720461845398,0.30492103099823,1652824257.769901
323,0.061211958527565,1.4809156656265259,0.28774788975715637,1652824257.7799969
324,0.004515922162681818,1.4633742570877075,0.2816319465637207,1652824257.79
325,-0.05072150006890297,1.4600474834442139,0.2822237014770508,1652824257.799912
326,-0.10479885339736938,1.4667953252792358,0.27373701333999634,1652824257.809914
327,-0.16360197961330414,1.4488677978515625,0.2403912991285324,1652824257.8198938
328,-0.23441116511821747,1.427324891090393,0.21489925682544708,1652824257.829921
329,-0.273577481508255,1.4114083051681519,0.20528072118759155,1652824257.839898
330,-0.268569678068161,1.3778239488601685,0.21011115610599518,1652824257.849906
331,-0.2255612164735794,1.3475514650344849,0.23218023777008057,1652824257.859939
332,-0.17761419713497162,1.346336841583252,0.260689377784729,1652824257.869998
333,-0.14582377672195435,1.3798335790634155,0.2465735673904419,1652824257.879918
334,-0.1839008629322052,1.4340440034866333,0.2190026491880417,1652824257.890202
